node_1,node_2,
62,49,0.094202899
62,60,0.015384615
62,76,0.008547009
62,168,0.05
62,153,0.03125
62,106,0.256410256
62,143,0.047619048
62,48,0.081395349
62,95,0.083333333
62,39,0.090909091
26,2,0.015209125
26,6,0.007211538
26,7,0.012711864
26,9,0.017241379
26,74,0.028169014
26,10,0.015564202
26,11,0.195
26,12,0.224215247
26,14,0.015625
26,76,0.231182796
26,15,0.020576132
26,77,0.014423077
26,153,0.023121387
26,80,0.014925373
26,64,0.006289308
26,79,0.11875
26,59,0.045454545
26,55,0.012711864
26,82,0.175
26,83,0.007407407
26,154,0.007518797
26,58,0.015748031
26,22,0.02016129
26,86,0.034965035
26,87,0.230769231
26,142,0.007407407
26,164,0.018604651
26,166,0.026666667
26,89,0.170103093
26,127,0.007352941
26,155,0.007462687
26,90,0.052941176
26,61,0.017021277
26,133,0.049689441
26,91,0.02
26,88,0.028368794
26,134,0.02189781
26,93,0.155
26,94,0.005376344
26,49,0.003831418
26,95,0.014814815
26,84,0.282051282
26,60,0.047337278
26,165,0.017857143
26,35,0.010416667
26,92,0.161290323
26,40,0.010989011
26,97,0.155339806
26,41,0.020746888
26,98,0.066225166
26,157,0.103448276
26,99,0.126760563
69,52,0.530864198
69,109,0.095890411
69,67,0.115942029
69,144,0.03125
69,124,0.018867925
69,165,0.071942446
69,140,0.085365854
69,101,0.142857143
69,119,0.01754386
69,145,0.018181818
69,45,0.090909091
69,126,0.092307692
69,102,0.11827957
69,111,0.019230769
69,100,0.052631579
69,167,0.059701493
167,102,0.126984127
167,5,0.029126214
167,101,0.25
167,52,0.070588235
167,145,0.045454545
167,158,0.042372881
167,144,0.064516129
167,165,0.054545455
167,140,0.12
167,20,0.013605442
167,34,0.014184397
167,100,0.038461538
167,16,0.015151515
167,45,0.054054054
167,126,0.310344828
167,37,0.041176471
90,2,0.010989011
90,6,0.009009009
90,7,0.006451613
90,9,0.013245033
90,74,0.03030303
90,165,0.013986014
90,11,0.046979866
90,12,0.098265896
90,98,0.026315789
90,77,0.015873016
90,153,0.044444444
90,87,0.08
90,79,0.391304348
90,59,0.026315789
90,82,0.04109589
90,55,0.012987013
90,58,0.01744186
90,22,0.00591716
90,84,0.089795918
90,88,0.148148148
90,166,0.01369863
90,89,0.11627907
90,60,0.056179775
90,61,0.012987013
90,133,0.061728395
90,91,0.044776119
90,92,0.090322581
90,93,0.088235294
90,97,0.09929078
90,76,0.081481481
90,157,0.101010101
90,99,0.075342466
140,149,0.027027027
140,37,0.005154639
140,5,0.016393443
140,52,0.135416667
140,46,0.018181818
140,144,0.133333333
140,165,0.116666667
140,101,0.177419355
140,100,0.125
140,145,0.025
140,45,0.239130435
140,126,0.191489362
140,102,0.435483871
133,2,0.023529412
133,87,0.111801242
133,7,0.013888889
133,9,0.021428571
133,74,0.032786885
133,10,0.024390244
133,11,0.073529412
133,12,0.034482759
133,98,0.046153846
133,15,0.013071895
133,77,0.035087719
133,153,0.05
133,64,0.015151515
133,79,0.036144578
133,59,0.03030303
133,136,0.019230769
133,82,0.083969466
133,58,0.018518519
133,22,0.01910828
133,6,0.015576324
133,164,0.008
133,166,0.022222222
133,89,0.03875969
133,127,0.023255814
133,165,0.007462687
133,61,0.013888889
133,91,0.111111111
133,134,0.068181818
133,93,0.069767442
133,94,0.010752688
133,49,0.005952381
133,84,0.061983471
133,60,0.012048193
133,92,0.111888112
133,40,0.011111111
133,97,0.050724638
133,76,0.022556391
133,157,0.076086957
133,99,0.088888889
34,28,0.008
34,37,0.253333333
34,5,0.14673913
34,31,0.015873016
34,32,0.111111111
34,158,0.273743017
34,44,0.015151515
34,13,0.014492754
34,20,0.494117647
34,21,0.022900763
34,16,0.298913043
34,46,0.059259259
35,2,0.111731844
35,103,0.031746032
35,135,0.014925373
35,6,0.150819672
35,7,0.096153846
35,9,0.12
35,74,0.027210884
35,10,0.102857143
35,11,0.01183432
35,12,0.025
35,14,0.104347826
35,76,0.00625
35,15,0.111111111
35,77,0.083333333
35,153,0.028301887
35,4,0.028169014
35,17,0.075949367
35,64,0.095238095
35,80,0.014925373
35,54,0.014492754
35,55,0.132450331
35,136,0.04
35,82,0.006024096
35,83,0.014925373
35,58,0.130952381
35,22,0.107784431
35,59,0.010869565
35,86,0.052631579
35,29,0.046875
35,164,0.110294118
35,166,0.13986014
35,89,0.006329114
35,127,0.014705882
35,33,0.015384615
35,60,0.048076923
35,61,0.055555556
35,91,0.024096386
35,92,0.005464481
35,94,0.072072072
35,49,0.005181347
35,95,0.014705882
35,84,0.003558719
35,165,0.052631579
35,40,0.126213592
35,97,0.00591716
35,41,0.133757962
35,99,0.005847953
119,109,0.096774194
119,67,0.033333333
160,92,0.008264463
160,49,0.007633588
160,82,0.009615385
160,76,0.010204082
160,99,0.009174312
160,97,0.009345794
160,84,0.00456621
160,12,0.007042254
145,37,0.00621118
145,52,0.013333333
145,144,0.125
145,165,0.02020202
145,101,0.111111111
145,100,0.090909091
145,45,0.090909091
145,126,0.045454545
145,102,0.037037037
126,37,0.011428571
126,52,0.12345679
126,144,0.1
126,165,0.115384615
126,101,0.25
126,100,0.08
126,45,0.147058824
126,102,0.203389831
37,5,0.200980392
37,165,0.02
37,150,0.006329114
37,13,0.035714286
37,101,0.015706806
37,16,0.21875
37,45,0.011363636
37,20,0.263157895
37,21,0.037037037
37,28,0.012658228
37,169,0.006329114
37,31,0.018867925
37,32,0.127071823
37,158,0.212962963
37,144,0.017751479
37,44,0.012048193
37,43,0.006289308
37,102,0.014492754
37,46,0.05988024
40,2,0.098837209
40,103,0.018518519
40,6,0.121710526
40,7,0.087837838
40,9,0.153284672
40,74,0.052238806
40,10,0.070175439
40,11,0.012578616
40,12,0.010362694
40,14,0.181818182
40,15,0.125827815
40,77,0.108333333
40,4,0.032786885
40,17,0.086956522
40,64,0.093333333
40,55,0.110344828
40,83,0.01754386
40,58,0.111111111
40,22,0.136363636
40,86,0.09375
40,164,0.044444444
40,166,0.047945205
40,155,0.036363636
40,61,0.073333333
40,91,0.013513514
40,99,0.00621118
40,94,0.26744186
40,136,0.046153846
40,97,0.038961039
40,41,0.112582781
97,2,0.008298755
97,73,0.009259259
97,7,0.009389671
97,9,0.034146341
97,74,0.015625
97,10,0.008510638
97,11,0.091370558
97,49,0.008474576
97,14,0.042682927
97,76,0.15819209
97,15,0.018181818
97,77,0.021857923
97,153,0.02
97,17,0.0078125
97,79,0.123188406
97,59,0.014814815
97,55,0.014150943
97,136,0.025210084
97,82,0.076530612
97,58,0.012987013
97,22,0.017777778
97,6,0.007653061
97,86,0.016393443
97,87,0.17535545
97,142,0.009009009
97,88,0.043103448
97,89,0.514925373
97,155,0.009090909
97,61,0.004672897
97,91,0.023809524
97,134,0.008695652
97,93,0.162921348
97,94,0.03164557
97,127,0.018018018
97,84,0.211895911
97,60,0.033783784
97,12,0.174528302
97,92,0.117647059
97,41,0.023041475
97,98,0.0703125
97,157,0.112582781
97,99,0.14893617
41,2,0.178403756
41,135,0.025641026
41,73,0.00862069
41,7,0.186170213
41,9,0.170212766
41,74,0.127777778
41,10,0.195121951
41,11,0.004504505
41,12,0.007843137
41,14,0.098159509
41,76,0.009478673
41,15,0.227513228
41,77,0.107954545
41,153,0.080536913
41,17,0.030075188
41,64,0.074626866
41,80,0.008403361
41,59,0.035714286
41,55,0.225274725
41,83,0.034482759
41,58,0.174757282
41,22,0.247368421
41,6,0.221212121
41,86,0.039370079
41,29,0.008474576
41,142,0.008403361
41,164,0.153409091
41,166,0.162162162
41,165,0.098445596
41,60,0.066225166
41,61,0.120603015
41,92,0.008547009
41,94,0.125
41,136,0.015625
41,155,0.008474576
41,134,0.016393443
102,149,0.019230769
102,5,0.022058824
102,52,0.169811321
102,46,0.014285714
102,144,0.178571429
102,165,0.146153846
102,101,0.222222222
102,21,0.016393443
102,100,0.111111111
102,45,0.24137931
157,87,0.209580838
157,74,0.027586207
157,11,0.104575163
157,12,0.097297297
157,98,0.070588235
157,77,0.014388489
157,153,0.009433962
157,79,0.09
157,59,0.011111111
157,164,0.006756757
157,82,0.25
157,84,0.138211382
157,86,0.012987013
157,142,0.015384615
157,88,0.02739726
157,166,0.00625
157,89,0.162962963
157,91,0.092105263
157,134,0.029411765
157,93,0.073333333
157,127,0.015151515
157,136,0.04109589
157,60,0.028846154
157,92,0.197368421
157,76,0.074324324
157,99,0.164383562
124,52,0.01369863
124,109,0.034482759
46,5,0.029126214
46,13,0.029411765
46,32,0.048387097
46,158,0.042372881
46,165,0.008695652
46,20,0.071942446
46,16,0.046875
2,4,0.020979021
2,135,0.014388489
2,6,0.269461078
2,7,0.119266055
2,9,0.147619048
2,74,0.160621762
2,10,0.291262136
2,11,0.004115226
2,12,0.018315018
2,14,0.063829787
2,76,0.00862069
2,15,0.222222222
2,77,0.180327869
2,153,0.083333333
2,105,0.007352941
2,17,0.053333333
2,64,0.044303797
2,79,0.005464481
2,80,0.014388489
2,54,0.007042254
2,55,0.277486911
2,165,0.104265403
2,83,0.02173913
2,58,0.217592593
2,22,0.194444444
2,59,0.031055901
2,86,0.033783784
2,29,0.007194245
2,164,0.185185185
2,166,0.248677249
2,33,0.007246377
2,61,0.257731959
2,91,0.032679739
2,92,0.007843137
2,94,0.072625698
2,136,0.055944056
2,60,0.070588235
2,134,0.006944444
103,6,0.003460208
103,7,0.009174312
103,9,0.009433962
103,74,0.011235955
103,10,0.015384615
103,165,0.010204082
103,164,0.011235955
103,14,0.015384615
103,58,0.0078125
103,22,0.016393443
103,95,0.142857143
103,17,0.043478261
103,15,0.008474576
135,6,0.006872852
135,7,0.018018018
135,166,0.009615385
135,9,0.009174312
135,74,0.021978022
135,49,0.007407407
135,106,0.03030303
135,14,0.014705882
135,58,0.023255814
135,22,0.007936508
135,153,0.02
135,48,0.005882353
135,15,0.016666667
73,6,0.003460208
73,89,0.010309278
73,10,0.007633588
73,92,0.008196721
73,12,0.006993007
73,55,0.009174312
73,79,0.020408163
7,6,0.203647416
7,9,0.14516129
7,74,0.082872928
7,10,0.16097561
7,11,0.014084507
7,12,0.012145749
7,14,0.124183007
7,15,0.184210526
7,77,0.13253012
7,153,0.107913669
7,17,0.056910569
7,64,0.062015504
7,79,0.006451613
7,80,0.008928571
7,54,0.017699115
7,55,0.102040816
7,83,0.018018018
7,58,0.175
7,22,0.16751269
7,59,0.00729927
7,86,0.041666667
7,29,0.018181818
7,4,0.026086957
7,164,0.126436782
7,166,0.11827957
7,89,0.004926108
7,165,0.067708333
7,61,0.142857143
7,91,0.007751938
7,92,0.004385965
7,94,0.093333333
7,127,0.008849558
7,95,0.008849558
7,136,0.033613445
7,60,0.076923077
7,155,0.018181818
9,6,0.18373494
9,74,0.142011834
9,10,0.186868687
9,11,0.024038462
9,14,0.111842105
9,76,0.009950249
9,15,0.193548387
9,77,0.107784431
9,153,0.102189781
9,17,0.085470085
9,64,0.05511811
9,80,0.009174312
9,59,0.030534351
9,55,0.157608696
9,83,0.028037383
9,58,0.260869565
9,22,0.213903743
9,86,0.042735043
9,29,0.009259259
9,4,0.017699115
9,164,0.148809524
9,166,0.205882353
9,89,0.005
9,165,0.10989011
9,61,0.126984127
9,91,0.016
9,134,0.017857143
9,94,0.133802817
9,155,0.018691589
9,136,0.016949153
9,60,0.102189781
9,92,0.004444444
9,99,0.004694836
33,142,0.142857143
33,6,0.010416667
33,10,0.007575758
33,165,0.01010101
33,55,0.009090909
33,14,0.030769231
33,58,0.007751938
11,6,0.015384615
11,74,0.053763441
11,10,0.021459227
11,92,0.186528497
11,49,0.012711864
11,14,0.011764706
11,98,0.095238095
11,15,0.013513514
11,77,0.010752688
11,153,0.01986755
11,17,0.015625
11,79,0.046979866
11,80,0.008928571
11,59,0.045454545
11,55,0.014084507
11,164,0.005128205
11,82,0.191011236
11,154,0.009090909
11,58,0.035242291
11,86,0.008064516
11,87,0.23880597
11,142,0.008928571
11,88,0.033898305
11,166,0.009708738
11,89,0.152542373
11,155,0.009009009
11,61,0.009345794
11,91,0.04
11,99,0.154255319
11,93,0.202312139
11,94,0.01863354
11,127,0.008849558
11,84,0.233962264
11,60,0.026666667
11,165,0.004901961
11,12,0.219512195
11,76,0.183908046
11,134,0.017391304
12,4,0.006622517
12,74,0.013215859
12,10,0.007407407
12,49,0.018656716
12,14,0.009803922
12,76,0.194029851
12,15,0.01171875
12,77,0.01369863
12,153,0.02173913
12,80,0.006849315
12,64,0.005882353
12,79,0.124260355
12,59,0.02994012
12,55,0.012145749
12,164,0.017699115
12,136,0.006410256
12,82,0.188405797
12,58,0.01509434
12,22,0.011494253
12,6,0.011764706
12,86,0.012738854
12,87,0.204255319
12,88,0.033112583
12,166,0.021097046
12,89,0.144230769
12,165,0.008438819
12,61,0.012145749
12,91,0.051282051
12,134,0.006666667
12,93,0.228426396
12,94,0.005076142
12,95,0.006802721
12,84,0.284697509
12,60,0.044444444
12,48,0.013157895
12,92,0.163716814
12,98,0.061728395
12,99,0.156682028
150,5,0.011494253
150,32,0.02173913
150,158,0.009615385
150,21,0.1
150,16,0.008695652
13,169,0.0625
13,5,0.03
13,32,0.016393443
13,158,0.016949153
13,20,0.013888889
13,21,0.04
13,16,0.0234375
110,52,0.01369863
110,109,0.071428571
110,67,0.038461538
14,6,0.165562914
14,74,0.027027027
14,10,0.108571429
14,15,0.096969697
14,77,0.082706767
14,153,0.018518519
14,4,0.057142857
14,17,0.061728395
14,64,0.010869565
14,80,0.014705882
14,59,0.02173913
14,165,0.038709677
14,55,0.081761006
14,83,0.014705882
14,58,0.123529412
14,22,0.1625
14,86,0.051948052
14,164,0.034013605
14,166,0.031446541
14,60,0.018518519
14,61,0.061728395
14,91,0.011764706
14,134,0.013888889
14,94,0.2
14,155,0.014925373
76,6,0.002597403
76,74,0.016393443
76,10,0.008849558
76,98,0.075630252
76,15,0.009389671
76,77,0.011363636
76,106,0.007936508
76,153,0.035971223
76,80,0.009803922
76,79,0.114503817
76,59,0.049180328
76,55,0.004878049
76,164,0.005405405
76,82,0.21686747
76,83,0.009803922
76,58,0.004464286
76,22,0.00456621
76,87,0.177339901
76,88,0.027522936
76,166,0.010204082
76,89,0.168674699
76,165,0.010362694
76,61,0.004878049
76,91,0.025641026
76,134,0.028846154
76,93,0.171597633
76,49,0.013274336
76,95,0.019607843
76,84,0.262948207
76,60,0.058823529
76,48,0.003802281
76,92,0.171122995
76,99,0.089473684
130,48,0.024096386
130,49,0.015037594
77,4,0.022727273
77,6,0.146417445
77,74,0.112582781
77,10,0.173184358
77,15,0.158823529
77,153,0.06779661
77,17,0.051546392
77,64,0.058252427
77,79,0.007874016
77,80,0.011904762
77,59,0.047619048
77,55,0.119047619
77,136,0.032608696
77,83,0.024096386
77,58,0.143646409
77,22,0.122222222
77,86,0.043010753
77,87,0.00913242
77,29,0.012048193
77,164,0.098039216
77,166,0.104294479
77,89,0.035294118
77,165,0.06626506
77,61,0.146341463
77,91,0.02
77,134,0.011363636
77,94,0.088
77,127,0.011764706
77,84,0.010135135
77,60,0.086206897
77,92,0.020304569
77,155,0.037037037
77,99,0.027173913
16,169,0.008695652
16,5,0.18128655
16,31,0.017094017
16,32,0.166666667
16,158,0.327272727
16,43,0.00862069
16,44,0.033057851
16,20,0.392045455
16,21,0.041666667
106,163,0.033333333
106,48,0.13372093
106,54,0.058823529
106,49,0.151079137
106,153,0.02739726
106,143,0.033333333
106,95,0.060606061
106,39,0.064516129
45,149,0.05
45,144,0.36
45,165,0.103773585
45,101,0.244444444
45,100,0.076923077
45,52,0.135802469
79,74,0.007407407
79,153,0.02173913
79,87,0.06779661
79,59,0.012987013
79,82,0.048275862
79,58,0.005747126
79,22,0.00591716
79,84,0.117154812
79,6,0.002985075
79,88,0.107142857
79,166,0.006802721
79,89,0.133858268
79,60,0.08045977
79,61,0.006451613
79,91,0.014492754
79,99,0.075342466
79,93,0.112781955
79,92,0.083333333
79,98,0.04
162,48,0.018072289
162,49,0.022900763
162,59,0.03125
162,54,0.111111111
162,163,0.25
163,49,0.015267176
163,54,0.285714286
163,48,0.012048193
163,59,0.032258065
86,87,0.006369427
86,74,0.03960396
86,10,0.035211268
86,15,0.030769231
86,153,0.032786885
86,64,0.095238095
86,82,0.008333333
86,55,0.016260163
86,58,0.028571429
86,22,0.037313433
86,6,0.02006689
86,166,0.017391304
86,155,0.105263158
86,60,0.016129032
86,61,0.050420168
86,99,0.008
86,94,0.042857143
86,127,0.045454545
86,84,0.004255319
164,6,0.149847095
164,74,0.150326797
164,10,0.20441989
164,15,0.191860465
164,153,0.12605042
164,17,0.047619048
164,64,0.13592233
164,80,0.010869565
164,59,0.026086957
164,55,0.166666667
164,58,0.162162162
164,22,0.160220994
164,142,0.010869565
164,4,0.010309278
164,166,0.245033113
164,165,0.193548387
164,60,0.12605042
164,61,0.14619883
164,91,0.018518519
164,92,0.009661836
164,95,0.010752688
164,136,0.009803922
166,4,0.018518519
166,6,0.175757576
166,74,0.153374233
166,10,0.223404255
166,15,0.225988701
166,153,0.131782946
166,105,0.01
166,17,0.051724138
166,64,0.075
166,59,0.04
166,55,0.168539326
166,83,0.019417476
166,58,0.207446809
166,22,0.206521739
166,29,0.019607843
166,165,0.165680473
166,61,0.195402299
166,91,0.016666667
166,92,0.013761468
166,136,0.026785714
166,60,0.106060606
166,134,0.009259259
32,5,0.099173554
32,31,0.041666667
32,158,0.145038168
32,44,0.166666667
32,20,0.128205128
32,21,0.098039216
89,74,0.027932961
89,49,0.008888889
89,15,0.004716981
89,153,0.021582734
89,17,0.008547009
89,59,0.032786885
89,55,0.004926108
89,82,0.129943503
89,58,0.004504505
89,84,0.197718631
89,87,0.227979275
89,142,0.01
89,88,0.067961165
89,61,0.004926108
89,91,0.044247788
89,134,0.009615385
89,93,0.187878788
89,127,0.00990099
89,136,0.027777778
89,60,0.044117647
89,92,0.18579235
89,98,0.105263158
89,99,0.126373626
158,28,0.019230769
158,5,0.171779141
158,31,0.028571429
158,43,0.019230769
158,44,0.017857143
158,20,0.337142857
158,21,0.036363636
144,5,0.01
144,149,0.071428571
144,165,0.088235294
144,101,0.162790698
144,100,0.1
144,52,0.061728395
44,20,0.014492754
155,6,0.003436426
155,10,0.015151515
155,127,0.111111111
155,15,0.016806723
155,80,0.125
155,64,0.064516129
155,59,0.03030303
155,55,0.009009009
155,82,0.009345794
155,154,0.166666667
155,58,0.015503876
155,22,0.016129032
155,87,0.006944444
155,142,0.125
155,92,0.008064516
155,94,0.034482759
155,84,0.004504505
60,6,0.047021944
60,74,0.089430894
60,10,0.086419753
60,99,0.019736842
60,15,0.093959732
60,153,0.179487179
60,87,0.033149171
60,64,0.056338028
60,59,0.070422535
60,55,0.1
60,136,0.016666667
60,82,0.02739726
60,83,0.02
60,58,0.101910828
60,88,0.016949153
60,165,0.1
60,61,0.1
60,91,0.014925373
60,22,0.105263158
60,93,0.013888889
60,94,0.02
60,49,0.017241379
60,95,0.019607843
60,84,0.03515625
60,48,0.00952381
60,92,0.030864198
60,98,0.04109589
60,134,0.018518519
61,4,0.008547009
61,6,0.218461538
61,74,0.166666667
61,10,0.226804124
61,15,0.209677419
61,153,0.092198582
61,105,0.009259259
61,17,0.048387097
61,64,0.132231405
61,80,0.008928571
61,59,0.037593985
61,55,0.142857143
61,83,0.018018018
61,58,0.205128205
61,22,0.210526316
61,142,0.008928571
61,165,0.084656085
61,91,0.015625
61,134,0.00862069
61,94,0.093333333
61,136,0.042372881
43,5,0.011363636
43,20,0.007633588
91,4,0.032258065
91,6,0.016393443
91,74,0.037735849
91,10,0.020134228
91,99,0.03968254
91,15,0.022058824
91,153,0.014925373
91,87,0.072368421
91,64,0.02
91,59,0.06122449
91,55,0.023622047
91,82,0.058823529
91,58,0.027586207
91,88,0.028571429
91,22,0.021276596
91,93,0.042735043
91,84,0.043290043
91,92,0.036231884
91,98,0.04
91,134,0.107142857
143,49,0.015267176
143,48,0.012048193
99,6,0.002525253
99,74,0.036842105
99,49,0.0041841
99,15,0.004444444
99,17,0.007692308
99,59,0.022058824
99,82,0.217142857
99,58,0.004255319
99,87,0.25
99,88,0.033613445
99,92,0.191709845
99,93,0.154696133
99,94,0.006097561
99,127,0.00877193
99,84,0.201465201
99,98,0.061068702
99,134,0.035087719
95,6,0.003412969
95,74,0.010752688
95,10,0.007407407
95,92,0.016
95,153,0.04
95,80,0.1
95,59,0.058823529
95,82,0.018518519
95,58,0.007575758
95,22,0.007874016
95,87,0.013793103
95,165,0.009803922
95,93,0.00952381
95,49,0.014814815
95,84,0.00896861
95,39,0.25
95,48,0.011764706
136,4,0.041666667
136,6,0.034129693
136,74,0.01980198
136,10,0.013986014
136,15,0.015384615
136,17,0.027777778
136,64,0.047619048
136,55,0.042372881
136,58,0.028985507
136,22,0.030075188
136,87,0.006451613
136,142,0.052631579
136,165,0.018181818
136,93,0.017699115
136,94,0.028985507
136,84,0.012987013
4,6,0.034722222
4,74,0.010309278
4,15,0.024193548
4,64,0.054054054
4,55,0.017241379
4,58,0.02238806
4,22,0.023255814
4,94,0.047619048
5,165,0.005464481
5,20,0.154255319
5,21,0.065934066
5,169,0.011494253
5,31,0.011111111
6,74,0.139393939
6,15,0.234756098
6,153,0.06031746
6,17,0.043771044
6,64,0.049668874
6,80,0.006872852
6,59,0.039215686
6,55,0.2375
6,165,0.103151862
6,83,0.006872852
6,58,0.24251497
6,22,0.261538462
6,54,0.013745704
6,29,0.010380623
6,142,0.006872852
6,10,0.255255255
6,94,0.142857143
6,127,0.006849315
6,92,0.009876543
6,134,0.003378378
52,149,0.013888889
52,100,0.038961039
52,70,0.013888889
52,109,0.136363636
52,67,0.141176471
52,120,0.041666667
52,165,0.126666667
52,101,0.186813187
52,111,0.013888889
109,67,0.558823529
109,70,0.035714286
109,120,0.107142857
109,129,0.035714286
67,70,0.04
67,120,0.12
67,129,0.04
74,10,0.178378378
74,15,0.151685393
74,153,0.089430894
74,17,0.018518519
74,64,0.073394495
74,59,0.044247788
74,22,0.179775281
74,55,0.101123596
74,84,0.033670034
74,82,0.043478261
74,83,0.033333333
74,58,0.137566138
74,88,0.02
74,87,0.0456621
74,165,0.075581395
74,93,0.02173913
74,94,0.082706767
74,92,0.034653465
74,98,0.044247788
74,134,0.010416667
10,15,0.286458333
10,153,0.093167702
10,105,0.007692308
